Summary of neighbor combinations and timings (gpu1):
V2C->C2E: 19.809762s
V2C->C2V: 2.951631s
V2E->E2C: 2.938430s
V2E->E2V: 2.917609s
E2C->C2E: 2.876075s
E2C->C2V: 2.881863s
E2V->V2C: 2.911861s
E2V->V2E: 2.918449s
C2E->E2C: 2.872191s
C2E->E2V: 2.868788s
C2V->V2C: 2.922714s
C2V->V2E: 2.931778s

V2C -> C2E (19.809762s)
2427: 7.167500
2428: 7.858073
2429: 6.836712
2430: 7.898939
2431: 10.630280
2432: 12.495586
2433: 7.734610
2434: 8.980040
2435: 10.838929
2436: 8.858935
2437: 10.131909
2438: 7.675672
2439: 10.464004
2440: 10.158134
2441: 8.493939
2442: 10.831724
2443: 7.992249
2444: 10.078634
2445: 10.402521
2446: 8.678077
2447: 11.655768
2448: 7.205149
2449: 10.268812
2450: 9.065812
2451: 9.301244
2452: 12.543364
2453: 9.826581
2454: 10.087390
2455: 11.230493
2456: 11.342177
2457: 11.429976
2458: 9.386408
2459: 7.318491
2460: 11.972630
2461: 9.904965
2462: 10.850908
2463: 8.336839
2464: 7.713171
2465: 8.044129
2466: 6.373914
2467: 3.788173
2468: 8.630966
2469: 7.685607
2470: 9.833688
2471: 10.073886
2472: 7.756522
2473: 7.422409
2474: 9.745295
2475: 7.394961
2476: 10.394275
2477: 11.273220
2478: 9.428578
2479: 10.418574
2480: 9.466921
2481: 12.168938
2482: 4.692733
2483: 3.172834
2484: 8.484998
2485: 8.034733
2486: 8.604548
2487: 7.914633
2488: 8.149535
2489: 8.813080
2490: 9.086713
2491: 8.576839
2492: 10.758374
2493: 12.010979
2494: 9.671585
2495: 9.855636
2496: 8.460034
2497: 11.039447
2498: 10.511043
2499: 9.970556
2500: 10.816036
2501: 7.612691
2502: 11.198409
2503: 9.702619
2504: 13.156432
2505: 11.926236
2506: 10.419814
2507: 10.338325
2508: 9.939800
2509: 7.959672
2510: 10.546511
2511: 8.313974
2512: 7.204460
2513: 7.495886
2514: 10.999196
2515: 6.847083
2516: 11.300479
2517: 10.396427
2518: 9.123507
2519: 9.911641
2520: 10.474970
2521: 13.304395
2522: 10.138222
2577: 7.503658
2578: 10.584490
2579: 11.091531
2580: 7.740949
2581: 9.942694
2582: 7.247706
2583: 8.266939
2584: 9.259466
2585: 12.260606
2586: 10.837860
2587: 9.288118
2588: 8.083938
2589: 11.225079
2590: 12.432190
2591: 7.591591
2592: 8.049617
2593: 9.538580
2594: 10.357515
2595: 8.522402
2596: 8.225062
2597: 7.472884
2598: 9.617102
2599: 9.733506
2600: 8.372815
2601: 10.780709
2602: 11.145914
2603: 9.389021
2604: 6.528167
2605: 7.887345
2606: 9.543840
2607: 5.436473
2608: 6.874584
2609: 6.386701
2610: 9.087236
2611: 10.595288
2612: 8.974857
2613: 7.367060
2614: 4.907796
2615: 7.543104
2616: 10.473993
2617: 9.159904
2618: 7.738696
2619: 10.324231
2620: 11.161417
2621: 8.745753
2622: 12.470076
2623: 11.390524
2624: 5.625442
2625: 6.537835
2626: 4.734400
2627: 7.240356
2628: 8.357288
2629: 8.678260
2630: 8.232034
2631: 9.048989
2632: 6.048635
2633: 8.989799
2634: 5.417537
2635: 7.133331
